worker_id,assignment_id,uniqueid,pid,datetime,trial_id,jitter,exp_duration,loc_x,loc_y,n_shown,color,n_guess,rt
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,24.8924136674,58.8207283867,B,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,54.0867933286,89.4372766806,R,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,55.1814437124,109.972819362,B,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,-43.9736180552,26.0346100222,B,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,-33.4892992445,89.7380331036,B,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,-80.3042404278,114.374248143,B,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,-33.7820438752,11.2879357009,B,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,-123.794618693,12.2631192478,R,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,-136.160662812,17.4287535526,B,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,-9.23889988725,-22.7743730133,R,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,-57.8590188546,-85.6669547198,B,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,-80.0441580558,-148.068816309,B,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,27.7660476739,-45.0810776831,B,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,36.9808123823,-99.8683797925,B,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,98.919737228,-136.934031772,R,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261086,494805,3,0,500,50,0,R,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261086,494805,3,0,500,100,0,B,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261086,494805,3,0,500,150,0,B,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261086,494805,3,0,500,25.0,43.3012701892,R,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261086,494805,3,0,500,50.0,86.6025403784,B,6,6,1072
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717261086,494805,3,0,500,75.0,129.903810568,B,6,6,1072
